id,age_category,age,gender_category,gender,education_category,education,neuroticism,extraversion,openness,agreeableness,conscientiousness,impulsiveness,sensation,cannabis
774,45-54,4,F,0,Certificate-diploma,6,46,31,44,41,38,4,9,1
775,18-24,1,M,1,Left_school_at_18,4,25,37,50,45,42,3,9,1
776,18-24,1,F,0,Some_college,5,21,43,52,41,28,5,10,1
777,25-34,2,M,1,Some_college,5,37,37,40,41,42,3,2,1
778,18-24,1,M,1,Some_college,5,41,44,51,39,38,5,8,1
779,18-24,1,M,1,Some_college,5,54,40,58,40,37,7,7,1
780,45-54,4,M,1,Left_school_at_18,4,18,47,44,47,39,5,6,1
781,18-24,1,F,0,Certificate-diploma,6,46,24,45,46,42,2,4,1
782,35-44,3,M,1,Certificate-diploma,6,46,33,40,34,36,5,7,1
783,18-24,1,M,1,Some_college,5,47,31,48,43,33,9,2,1
784,18-24,1,F,0,Some_college,5,44,37,52,46,38,6,5,1
785,18-24,1,F,0,Some_college,5,33,43,52,43,49,4,5,1
786,18-24,1,M,1,Masters,8,49,34,52,43,44,4,7,1
787,18-24,1,M,1,Certificate-diploma,6,30,40,47,41,29,7,7,1
788,35-44,3,M,1,Certificate-diploma,6,44,36,47,38,43,8,8,1
789,18-24,1,M,1,Certificate-diploma,6,21,48,42,39,33,9,7,0
790,18-24,1,M,1,Some_college,5,19,41,51,44,47,5,5,1
791,18-24,1,M,1,University_degree,7,34,37,52,39,36,8,7,1
792,18-24,1,M,1,Some_college,5,42,39,50,32,41,8,2,1
793,18-24,1,M,1,Some_college,5,44,44,48,36,31,3,9,1
794,25-34,2,M,1,Some_college,5,36,53,44,39,42,8,8,0
795,25-34,2,M,1,University_degree,7,35,36,54,51,38,5,7,1
796,18-24,1,M,1,Some_college,5,47,36,44,39,49,3,9,1
797,18-24,1,M,1,Some_college,5,40,33,44,46,41,4,7,1
798,18-24,1,F,0,University_degree,7,30,45,49,47,50,3,7,1
799,25-34,2,F,0,Some_college,5,37,47,51,41,47,4,5,1
800,35-44,3,F,0,Some_college,5,48,44,55,46,37,9,6,1
801,18-24,1,M,1,Some_college,5,25,41,46,46,54,4,9,1
802,25-34,2,M,1,Some_college,5,41,37,45,47,34,6,10,1
803,18-24,1,M,1,Left_school_at_18,4,31,42,47,38,37,7,5,1
804,45-54,4,F,0,University_degree,7,37,33,39,48,40,2,5,1
805,25-34,2,M,1,Some_college,5,41,32,43,49,42,4,8,1
806,18-24,1,F,0,University_degree,7,54,29,55,31,45,6,8,1
807,25-34,2,M,1,Some_college,5,33,41,44,40,35,8,7,1
808,18-24,1,M,1,Left_school_at_17,3,32,45,51,47,35,9,5,1
809,18-24,1,F,0,Some_college,5,46,45,53,36,38,7,5,1
810,18-24,1,M,1,University_degree,7,40,26,39,48,30,2,4,1
811,18-24,1,M,1,Certificate-diploma,6,21,34,37,54,41,4,4,1
812,18-24,1,M,1,Left_school_at_18,4,21,45,53,37,39,3,8,1
813,45-54,4,F,0,University_degree,7,48,51,52,30,29,7,5,1
814,18-24,1,M,1,Some_college,5,47,35,46,34,35,8,5,1
815,25-34,2,M,1,University_degree,7,41,36,51,32,45,4,10,1
816,18-24,1,M,1,Some_college,5,29,40,43,37,44,6,2,1
817,18-24,1,M,1,Some_college,5,57,42,48,37,34,9,5,1
818,18-24,1,F,0,Some_college,5,37,33,46,46,47,4,6,1
819,45-54,4,M,1,Doctorate,9,42,41,52,57,44,3,10,1
820,25-34,2,F,0,Masters,8,51,34,46,41,33,5,10,1
821,18-24,1,M,1,Some_college,5,29,51,51,44,45,7,2,1
822,18-24,1,F,0,University_degree,7,32,42,45,42,43,7,5,1
823,18-24,1,M,1,Some_college,5,35,47,51,40,45,4,5,0
824,18-24,1,M,1,Some_college,5,35,41,51,45,39,7,5,1
825,18-24,1,M,1,Some_college,5,36,38,45,29,26,8,5,1
826,18-24,1,M,1,University_degree,7,42,24,26,49,31,3,3,1
827,18-24,1,M,1,University_degree,7,41,44,47,36,50,4,10,1
828,18-24,1,M,1,Some_college,5,37,49,54,35,36,6,7,1
829,18-24,1,M,1,University_degree,7,27,43,46,38,39,5,10,1
830,25-34,2,F,0,Doctorate,9,52,43,53,47,43,2,7,1
831,18-24,1,M,1,Some_college,5,37,44,57,51,40,2,10,1
832,18-24,1,M,1,Certificate-diploma,6,39,37,41,49,41,5,9,1
833,18-24,1,M,1,Some_college,5,45,34,47,47,41,4,7,1
834,25-34,2,F,0,Masters,8,37,33,55,44,46,6,2,1
835,45-54,4,F,0,Doctorate,9,36,41,46,38,36,7,7,1
836,25-34,2,F,0,Masters,8,44,35,46,41,46,4,4,0
837,18-24,1,M,1,University_degree,7,41,33,43,42,41,4,8,1
838,18-24,1,M,1,University_degree,7,21,41,46,41,30,5,8,1
839,45-54,4,M,1,Masters,8,32,42,47,35,44,5,10,1
840,18-24,1,M,1,Some_college,5,21,51,50,46,48,8,8,1
841,18-24,1,M,1,Left_school_at_18,4,43,40,58,44,30,8,7,1
842,25-34,2,M,1,University_degree,7,38,30,50,24,42,7,5,1
843,18-24,1,M,1,Some_college,5,30,39,52,40,32,9,7,1
844,18-24,1,M,1,Some_college,5,29,40,48,54,50,4,6,1
845,25-34,2,F,0,Some_college,5,41,37,47,36,40,2,8,1
846,18-24,1,F,0,Some_college,5,39,45,53,50,38,5,10,1
847,35-44,3,M,1,Some_college,5,45,28,36,42,44,2,2,1
848,18-24,1,F,0,Certificate-diploma,6,41,37,35,50,37,5,6,1
849,25-34,2,M,1,University_degree,7,42,37,48,30,35,6,7,1
850,18-24,1,M,1,Left_school_at_18,4,41,44,53,36,39,8,5,1
851,55-64,5,M,1,Masters,8,21,40,54,51,45,5,8,1
852,18-24,1,M,1,Masters,8,40,33,49,41,45,5,10,1
853,18-24,1,M,1,Some_college,5,28,49,55,49,43,6,8,1
854,25-34,2,M,1,University_degree,7,43,41,36,35,32,5,5,1
855,18-24,1,M,1,Some_college,5,36,40,55,44,40,5,8,1
856,18-24,1,F,0,Some_college,5,32,41,46,42,34,8,7,1
857,18-24,1,M,1,Left_school_at_16,2,41,45,50,36,33,6,5,1
858,25-34,2,M,1,Some_college,5,26,43,57,53,45,4,8,1
859,18-24,1,M,1,Certificate-diploma,6,41,48,45,47,54,7,5,1
860,25-34,2,M,1,Left_school_at_17,3,49,34,43,30,29,5,6,1
861,18-24,1,M,1,Some_college,5,26,54,53,42,48,7,7,1
862,18-24,1,F,0,Some_college,5,46,31,53,36,32,10,10,1
863,25-34,2,M,1,Some_college,5,42,45,53,40,28,8,7,1
864,18-24,1,M,1,University_degree,7,36,39,45,39,39,9,5,1
865,18-24,1,M,1,Some_college,5,20,48,58,48,48,3,8,1
866,18-24,1,M,1,Some_college,5,51,36,45,32,37,3,7,1
867,18-24,1,F,0,Some_college,5,34,47,42,39,36,7,8,1
868,18-24,1,M,1,Some_college,5,40,32,50,47,36,5,9,1
869,18-24,1,F,0,Some_college,5,35,48,55,48,54,6,5,1
870,18-24,1,F,0,Some_college,5,24,42,51,49,52,3,10,1
871,45-54,4,M,1,Certificate-diploma,6,51,35,52,41,28,8,2,1
872,25-34,2,M,1,University_degree,7,45,34,53,40,49,7,2,1
873,18-24,1,M,1,Masters,8,38,50,47,32,34,6,10,1
874,25-34,2,F,0,Masters,8,29,37,46,47,40,3,4,1
875,18-24,1,F,0,Some_college,5,50,27,47,38,23,3,1,1
876,25-34,2,F,0,Masters,8,38,32,42,45,34,6,9,1
877,18-24,1,F,0,Some_college,5,43,42,55,43,36,9,2,1
878,35-44,3,M,1,Certificate-diploma,6,48,24,51,30,39,10,7,1
879,25-34,2,M,1,Some_college,5,27,43,51,46,25,9,2,1
880,18-24,1,F,0,University_degree,7,30,49,52,43,43,7,10,1
881,25-34,2,M,1,Masters,8,48,40,44,42,41,8,7,1
882,18-24,1,F,0,Left_school_before_16,1,42,39,52,40,31,5,2,1
883,35-44,3,M,1,Some_college,5,51,32,48,39,36,9,10,1
884,25-34,2,F,0,Some_college,5,25,49,54,37,41,6,5,1
885,18-24,1,M,1,Some_college,5,36,48,51,45,37,5,7,1
886,18-24,1,M,1,Some_college,5,50,40,48,48,41,4,7,1
887,25-34,2,M,1,Some_college,5,46,19,47,43,41,5,8,1
888,18-24,1,M,1,University_degree,7,40,37,47,41,42,7,10,1
889,18-24,1,M,1,University_degree,7,31,55,51,52,43,5,5,1
890,18-24,1,F,0,Some_college,5,26,49,56,54,36,5,6,1
891,18-24,1,F,0,Some_college,5,40,45,54,50,46,3,8,1
892,18-24,1,M,1,Some_college,5,37,46,53,47,46,3,7,1
893,25-34,2,M,1,Some_college,5,22,53,52,43,48,4,10,1
894,25-34,2,M,1,Some_college,5,37,37,33,27,41,6,7,1
895,25-34,2,M,1,Some_college,5,46,29,48,18,30,8,2,1
896,25-34,2,F,0,Left_school_at_17,3,60,24,40,36,24,6,3,1
897,18-24,1,M,1,Some_college,5,23,27,46,27,40,6,7,1
898,18-24,1,F,0,Certificate-diploma,6,20,38,47,44,37,3,8,1
899,25-34,2,M,1,Masters,8,28,47,45,44,45,4,8,1
900,25-34,2,M,1,University_degree,7,53,38,43,40,34,9,2,1
901,18-24,1,F,0,Some_college,5,53,33,39,37,34,10,2,1
902,18-24,1,M,1,University_degree,7,15,51,35,12,41,6,5,1
903,18-24,1,M,1,Some_college,5,36,33,49,39,35,6,5,1
904,25-34,2,F,0,Masters,8,38,35,48,39,33,6,10,1
905,18-24,1,M,1,Left_school_at_18,4,35,46,46,46,37,7,5,1
906,35-44,3,F,0,University_degree,7,46,38,53,36,45,2,4,1
907,18-24,1,M,1,Some_college,5,49,39,45,27,33,7,10,1
908,25-34,2,M,1,Certificate-diploma,6,40,42,47,43,54,3,6,1
909,35-44,3,M,1,University_degree,7,24,42,41,34,45,6,5,1
910,18-24,1,M,1,Some_college,5,33,40,44,48,36,2,2,1
911,18-24,1,M,1,University_degree,7,37,44,46,34,42,7,7,1
912,25-34,2,F,0,Some_college,5,49,43,53,37,28,9,5,1
913,18-24,1,F,0,Some_college,5,55,19,32,43,31,6,4,1
914,18-24,1,M,1,Some_college,5,43,30,41,34,36,4,7,1
915,35-44,3,M,1,University_degree,7,39,29,34,32,47,3,10,0
916,18-24,1,F,0,Some_college,5,25,54,54,49,48,5,7,1
917,25-34,2,F,0,Left_school_at_17,3,56,20,42,28,19,9,5,1
918,18-24,1,M,1,Left_school_at_18,4,38,40,46,40,48,3,9,1
919,25-34,2,M,1,Left_school_at_16,2,40,39,45,42,38,5,7,1
920,18-24,1,F,0,Some_college,5,52,28,45,53,45,6,5,1
921,18-24,1,M,1,Left_school_at_18,4,38,49,58,41,34,9,2,1
922,35-44,3,M,1,Masters,8,33,38,41,38,43,8,8,1
923,18-24,1,M,1,Some_college,5,25,43,53,34,45,4,5,1
924,18-24,1,M,1,Left_school_before_16,1,37,38,46,46,33,4,10,1
925,18-24,1,M,1,Some_college,5,25,30,41,35,33,5,9,1
926,25-34,2,M,1,Left_school_at_18,4,48,31,29,36,36,8,9,1
927,18-24,1,M,1,Left_school_at_16,2,46,29,48,44,35,6,8,1
928,18-24,1,M,1,Certificate-diploma,6,28,48,50,50,37,4,7,1
929,25-34,2,M,1,Some_college,5,38,31,52,38,40,4,7,1
930,25-34,2,M,1,Some_college,5,30,49,56,53,46,5,5,1
931,18-24,1,F,0,Some_college,5,33,46,51,45,40,6,8,1
932,35-44,3,M,1,Left_school_at_16,2,29,35,42,44,37,2,4,1
933,25-34,2,F,0,University_degree,7,43,35,54,49,45,6,7,1
934,18-24,1,F,0,Left_school_at_17,3,47,26,46,50,36,4,2,1
935,18-24,1,F,0,University_degree,7,33,40,53,47,54,3,6,1
936,18-24,1,F,0,Some_college,5,24,47,54,45,36,9,2,1
937,18-24,1,F,0,Some_college,5,56,35,48,44,36,6,7,1
938,18-24,1,M,1,Certificate-diploma,6,40,48,53,43,39,6,8,1
939,18-24,1,M,1,Some_college,5,35,42,50,47,35,7,5,1
940,18-24,1,F,0,University_degree,7,39,42,46,39,47,3,10,1
941,18-24,1,M,1,Some_college,5,40,37,53,33,41,4,7,1
942,25-34,2,F,0,Left_school_at_18,4,45,48,53,38,51,5,10,1
943,25-34,2,M,1,Certificate-diploma,6,31,54,59,51,50,4,10,1
944,18-24,1,F,0,Some_college,5,51,34,50,46,33,7,7,1
945,25-34,2,F,0,Masters,8,46,38,49,48,32,8,7,1
946,18-24,1,F,0,Some_college,5,32,32,42,52,35,3,2,1
947,18-24,1,M,1,Left_school_at_18,4,29,38,38,38,30,7,9,1
948,25-34,2,M,1,Certificate-diploma,6,55,30,47,41,29,8,9,1
949,25-34,2,F,0,Left_school_at_18,4,40,40,29,41,47,2,1,1
950,35-44,3,M,1,Certificate-diploma,6,51,27,46,44,30,7,6,1
951,18-24,1,F,0,University_degree,7,42,40,49,40,37,4,10,1
952,18-24,1,F,0,Some_college,5,25,42,57,47,41,10,2,1
953,18-24,1,M,1,Some_college,5,40,41,48,41,40,9,7,1
954,25-34,2,F,0,University_degree,7,46,33,46,41,29,6,7,1
955,18-24,1,M,1,Some_college,5,49,34,44,42,36,3,3,1
956,18-24,1,M,1,Certificate-diploma,6,53,36,46,33,20,9,5,1
957,45-54,4,M,1,University_degree,7,25,36,42,44,45,3,4,1
958,35-44,3,M,1,Certificate-diploma,6,23,38,47,51,50,3,3,1
959,18-24,1,M,1,Some_college,5,33,50,46,35,54,4,7,1
960,18-24,1,F,0,University_degree,7,36,41,55,50,37,6,6,0
961,45-54,4,F,0,Some_college,5,35,35,51,55,39,4,9,1
962,18-24,1,M,1,Certificate-diploma,6,39,46,53,45,40,9,2,1
963,25-34,2,M,1,Some_college,5,32,42,57,48,33,7,10,1
964,35-44,3,M,1,Some_college,5,42,26,46,44,42,5,5,1
965,18-24,1,M,1,Some_college,5,27,48,43,48,44,4,10,1
966,25-34,2,F,0,Masters,8,25,40,51,46,40,5,10,1
967,18-24,1,M,1,Masters,8,27,47,46,45,45,5,5,1
968,18-24,1,F,0,Some_college,5,30,42,50,50,44,3,6,1
969,18-24,1,F,0,Some_college,5,33,41,57,52,39,8,5,1
970,18-24,1,M,1,Some_college,5,22,48,53,33,48,4,7,1
971,55-64,5,M,1,Doctorate,9,20,48,50,50,47,6,8,1
972,35-44,3,F,0,University_degree,7,38,40,45,39,38,7,7,1
973,25-34,2,M,1,Some_college,5,40,28,50,36,48,4,10,1
974,18-24,1,M,1,Some_college,5,50,31,38,44,38,3,10,1
975,18-24,1,M,1,Some_college,5,20,53,54,52,46,3,2,1
976,18-24,1,M,1,Some_college,5,48,40,53,35,36,6,2,1
977,65+,6,M,1,Masters,8,18,40,50,48,47,6,6,1
978,18-24,1,M,1,Some_college,5,30,47,51,47,42,4,6,1
979,35-44,3,F,0,Masters,8,30,49,37,53,39,8,5,1
980,45-54,4,F,0,Some_college,5,48,32,43,42,47,3,9,1
981,25-34,2,F,0,Doctorate,9,42,41,51,39,40,3,4,1
982,18-24,1,M,1,Some_college,5,40,39,47,38,45,4,8,1
983,18-24,1,M,1,Some_college,5,46,47,38,37,34,7,5,1
984,25-34,2,F,0,University_degree,7,42,39,57,31,49,6,5,1
985,18-24,1,M,1,Some_college,5,34,39,54,49,41,7,2,1
986,18-24,1,M,1,Some_college,5,34,42,54,40,35,6,5,1
987,18-24,1,M,1,Certificate-diploma,6,43,34,41,40,44,7,8,1
988,25-34,2,M,1,Some_college,5,52,44,49,34,25,8,5,1
989,18-24,1,M,1,Some_college,5,46,29,49,43,35,3,8,1
990,25-34,2,M,1,University_degree,7,28,40,47,36,40,8,5,1
991,18-24,1,M,1,Some_college,5,52,36,56,44,39,7,5,1
992,18-24,1,M,1,Some_college,5,39,51,48,38,28,9,2,1
993,55-64,5,M,1,Certificate-diploma,6,28,42,50,44,42,4,9,1
994,25-34,2,M,1,University_degree,7,25,45,55,56,49,4,10,1
995,18-24,1,M,1,Some_college,5,41,45,51,49,36,6,5,1
996,18-24,1,M,1,Masters,8,28,38,44,37,41,6,7,1
997,18-24,1,M,1,Masters,8,28,46,43,46,47,7,7,1
998,25-34,2,M,1,Masters,8,47,38,52,39,48,4,8,1
999,25-34,2,F,0,Doctorate,9,26,45,44,42,48,4,6,1
1000,18-24,1,M,1,Some_college,5,29,43,45,44,51,3,3,1
1001,18-24,1,M,1,Left_school_at_16,2,48,32,44,42,37,8,7,1
1002,18-24,1,M,1,Some_college,5,35,46,37,27,35,8,2,1
1003,45-54,4,F,0,Some_college,5,32,41,47,46,47,2,3,1
1004,18-24,1,M,1,Some_college,5,55,27,44,33,44,2,6,1
1005,18-24,1,M,1,Left_school_at_18,4,53,23,38,40,17,4,3,1
1006,18-24,1,M,1,Left_school_at_18,4,44,29,33,43,29,8,5,1
1007,18-24,1,F,0,Left_school_at_18,4,53,33,52,44,35,3,6,0
1008,18-24,1,M,1,Some_college,5,35,41,56,49,42,5,10,1
1009,45-54,4,M,1,Masters,8,42,31,42,40,33,4,9,1
1010,18-24,1,F,0,Left_school_at_18,4,48,46,49,41,40,6,10,1
1011,45-54,4,M,1,University_degree,7,29,40,46,43,45,1,6,1
1012,18-24,1,F,0,Some_college,5,30,49,57,51,36,5,2,1
1013,25-34,2,M,1,Some_college,5,53,31,49,38,31,5,3,1
1014,18-24,1,M,1,Some_college,5,42,42,47,44,41,5,7,1
1015,25-34,2,M,1,Some_college,5,28,53,52,46,37,9,2,1
1016,45-54,4,M,1,University_degree,7,25,44,59,48,50,2,8,1
1017,18-24,1,M,1,Certificate-diploma,6,18,55,57,44,52,5,7,1
1018,25-34,2,M,1,Some_college,5,39,20,40,32,22,7,8,1
1019,18-24,1,F,0,Left_school_at_18,4,32,31,39,46,49,3,1,1
1020,25-34,2,M,1,Left_school_at_18,4,38,50,48,33,42,4,7,1
1021,35-44,3,F,0,Some_college,5,45,30,36,40,36,5,1,1
1022,18-24,1,M,1,University_degree,7,37,33,53,30,47,4,6,1
1023,18-24,1,F,0,Some_college,5,55,19,38,40,23,3,4,1
1024,18-24,1,M,1,Left_school_at_18,4,49,39,56,37,39,4,8,1
1025,18-24,1,M,1,Some_college,5,29,38,53,36,23,8,7,1
1026,18-24,1,F,0,Left_school_at_18,4,39,32,49,47,37,7,8,1
1027,18-24,1,F,0,University_degree,7,25,33,41,41,39,4,6,1
1028,45-54,4,M,1,Doctorate,9,37,42,49,37,42,5,10,1
1029,35-44,3,F,0,University_degree,7,42,42,43,43,46,8,5,1
1030,18-24,1,F,0,Masters,8,32,45,50,47,50,4,2,1
1031,18-24,1,F,0,University_degree,7,41,33,40,36,39,4,10,1
1032,18-24,1,M,1,Some_college,5,29,42,50,50,42,5,7,1
1033,25-34,2,M,1,Some_college,5,38,30,45,36,31,8,10,1
1034,18-24,1,M,1,Some_college,5,38,35,47,39,40,5,10,1
1035,18-24,1,F,0,Some_college,5,48,36,49,39,34,6,2,1
1036,18-24,1,M,1,Certificate-diploma,6,41,43,57,43,38,6,7,1
1037,18-24,1,F,0,Some_college,5,41,45,52,42,40,8,5,1
1038,25-34,2,M,1,Some_college,5,19,43,50,47,47,2,4,1
1039,35-44,3,F,0,Masters,8,48,29,46,58,36,4,1,1
1040,18-24,1,F,0,Some_college,5,38,34,51,56,49,6,5,1
1041,18-24,1,M,1,Some_college,5,43,39,50,38,45,3,8,1
1042,35-44,3,F,0,Masters,8,42,39,32,42,34,7,10,1
1043,35-44,3,M,1,University_degree,7,38,24,31,34,31,9,7,0
1044,25-34,2,M,1,Some_college,5,46,36,47,49,38,7,9,1
1045,25-34,2,F,0,Masters,8,45,37,36,48,37,2,6,1
1046,18-24,1,M,1,Some_college,5,43,48,55,49,35,8,5,1
1047,25-34,2,F,0,Masters,8,49,48,57,26,32,8,5,1
1048,18-24,1,M,1,Some_college,5,48,31,49,43,44,2,2,1
1049,18-24,1,M,1,Masters,8,23,55,49,38,46,7,2,1
1050,18-24,1,M,1,Certificate-diploma,6,25,44,46,45,38,4,6,1
1051,18-24,1,F,0,Some_college,5,46,43,55,53,37,7,7,1
1052,25-34,2,M,1,Doctorate,9,22,39,51,30,44,5,5,1
1053,18-24,1,M,1,Some_college,5,29,37,39,41,40,4,9,1
1054,18-24,1,M,1,Left_school_at_18,4,48,36,35,30,26,8,2,1
1055,18-24,1,F,0,Some_college,5,40,36,49,41,39,4,9,1
1056,25-34,2,M,1,Left_school_at_16,2,28,48,56,39,46,5,10,1
1057,25-34,2,F,0,Some_college,5,38,39,51,47,51,2,3,1
1058,35-44,3,F,0,Left_school_at_18,4,39,31,38,31,31,5,10,1
1059,18-24,1,M,1,University_degree,7,43,32,37,40,39,6,10,1
1060,18-24,1,M,1,Some_college,5,30,39,51,49,40,3,10,1
1061,45-54,4,F,0,Masters,8,30,40,56,47,48,2,6,1
1062,18-24,1,F,0,Left_school_at_18,4,33,44,36,44,47,8,8,0
1063,18-24,1,F,0,University_degree,7,48,52,56,42,38,8,5,1
1064,25-34,2,M,1,Some_college,5,21,39,52,33,45,4,8,1
1065,25-34,2,M,1,Masters,8,29,44,56,47,46,4,5,1
1066,18-24,1,M,1,Some_college,5,13,43,54,50,33,7,7,1
1067,35-44,3,F,0,Left_school_at_17,3,48,35,50,45,52,2,2,1
1068,35-44,3,M,1,University_degree,7,30,35,29,41,40,1,3,0
1069,18-24,1,M,1,Left_school_at_18,4,21,46,46,43,35,7,8,1
1070,25-34,2,F,0,Doctorate,9,27,40,53,55,54,2,9,1
1071,25-34,2,F,0,Masters,8,35,30,43,42,50,4,3,1
1072,18-24,1,M,1,Masters,8,40,40,48,39,43,7,8,1
1073,18-24,1,M,1,Some_college,5,31,37,53,44,31,4,7,1
1074,18-24,1,F,0,Masters,8,51,29,45,45,39,3,2,0
1075,35-44,3,F,0,Doctorate,9,29,42,46,41,51,2,2,0
1076,35-44,3,M,1,Left_school_at_18,4,39,35,43,40,41,5,7,1
1077,18-24,1,M,1,Left_school_at_17,3,27,36,51,51,40,3,9,1
1078,35-44,3,F,0,Certificate-diploma,6,40,40,39,44,41,2,3,1
1079,25-34,2,F,0,University_degree,7,53,26,57,37,44,5,2,1
1080,45-54,4,M,1,Certificate-diploma,6,22,46,44,40,44,4,2,0
1081,35-44,3,F,0,Certificate-diploma,6,41,30,36,44,33,2,3,1
1082,25-34,2,F,0,Masters,8,39,51,45,45,46,6,7,0
1083,18-24,1,F,0,Masters,8,25,50,48,50,50,4,9,0
1084,18-24,1,M,1,Masters,8,33,43,44,45,38,4,9,1
1085,18-24,1,F,0,Masters,8,42,47,40,40,32,3,4,0
1086,18-24,1,F,0,University_degree,7,35,39,49,45,45,2,9,1
1087,18-24,1,F,0,Masters,8,33,43,52,42,53,6,10,0
1088,35-44,3,M,1,Certificate-diploma,6,34,39,50,46,46,3,10,1
1089,18-24,1,F,0,Masters,8,35,46,58,41,44,2,6,0
1090,18-24,1,F,0,Masters,8,41,43,46,41,44,5,6,1
1091,25-34,2,F,0,Masters,8,31,39,48,47,48,5,4,0
1092,25-34,2,F,0,University_degree,7,26,49,47,50,40,2,7,1
1093,18-24,1,F,0,Masters,8,42,49,45,57,38,8,10,0
1094,45-54,4,F,0,Left_school_at_16,2,31,44,38,50,43,5,6,1
1095,18-24,1,M,1,University_degree,7,21,34,42,35,32,5,7,1
1096,25-34,2,F,0,University_degree,7,23,51,40,39,46,7,10,1
1097,35-44,3,M,1,Masters,8,31,46,47,43,48,7,9,0
1098,25-34,2,M,1,Masters,8,47,32,40,43,43,4,1,1
1099,18-24,1,M,1,Left_school_at_18,4,30,35,56,54,33,4,6,1
1100,25-34,2,M,1,Some_college,5,27,40,51,44,37,7,8,1
1101,18-24,1,F,0,Some_college,5,36,37,46,37,37,2,9,1
1102,18-24,1,F,0,Masters,8,24,48,48,46,46,4,10,1
1103,18-24,1,M,1,Some_college,5,30,43,45,45,28,5,7,1
1104,18-24,1,F,0,University_degree,7,39,39,42,41,50,3,6,1
1105,18-24,1,F,0,Masters,8,28,39,45,40,39,4,5,1
1106,18-24,1,F,0,Left_school_at_18,4,26,42,57,37,28,5,7,1
1107,25-34,2,M,1,Some_college,5,25,32,51,35,26,2,8,1
1108,25-34,2,F,0,Doctorate,9,34,38,43,56,52,2,8,1
1109,25-34,2,F,0,Some_college,5,54,38,49,35,34,5,7,1
1110,18-24,1,M,1,University_degree,7,47,47,53,42,38,9,2,1
1111,18-24,1,M,1,Some_college,5,27,51,55,51,40,5,10,1
1112,45-54,4,M,1,Some_college,5,57,29,33,44,29,7,6,1
1113,18-24,1,F,0,Some_college,5,38,39,44,56,51,2,3,1
1114,45-54,4,M,1,Doctorate,9,40,37,50,45,32,8,8,1
1115,18-24,1,M,1,Left_school_at_18,4,27,31,41,36,46,3,6,1
1116,18-24,1,M,1,Some_college,5,12,43,46,51,54,4,7,1
1117,45-54,4,M,1,Left_school_at_16,2,41,36,49,26,40,7,9,1
1118,18-24,1,M,1,Some_college,5,45,40,54,42,31,8,10,1
1119,18-24,1,M,1,Some_college,5,51,31,45,37,37,3,9,1
1120,25-34,2,F,0,University_degree,7,21,55,60,50,40,6,2,1
1121,18-24,1,M,1,Some_college,5,46,37,46,31,34,7,7,1
1122,25-34,2,M,1,University_degree,7,26,48,49,46,47,5,9,1
1123,25-34,2,M,1,Some_college,5,32,21,37,38,40,5,7,1
1124,18-24,1,M,1,Left_school_at_16,2,35,26,56,43,39,3,6,1
1125,25-34,2,M,1,Certificate-diploma,6,43,33,38,43,32,6,6,1
1126,25-34,2,M,1,Left_school_at_18,4,26,40,29,46,42,8,8,1
1127,25-34,2,M,1,Certificate-diploma,6,49,30,43,42,24,4,9,1
1128,55-64,5,M,1,Left_school_at_17,3,41,37,42,32,46,4,8,1
1129,18-24,1,M,1,Some_college,5,49,33,51,45,36,6,5,1
1130,18-24,1,M,1,Some_college,5,46,25,41,50,32,7,10,1
1131,18-24,1,M,1,Some_college,5,22,31,52,53,28,4,10,1
1132,18-24,1,M,1,Some_college,5,40,41,45,43,27,8,7,1
1133,25-34,2,F,0,Certificate-diploma,6,56,45,51,29,28,9,2,1
1134,25-34,2,M,1,Masters,8,42,35,47,35,40,4,9,1
1135,35-44,3,M,1,Certificate-diploma,6,24,41,56,50,44,8,7,1
1136,18-24,1,M,1,Masters,8,40,48,38,37,38,9,10,1
1137,18-24,1,M,1,Left_school_at_18,4,49,44,44,34,29,8,5,1
1138,25-34,2,F,0,Doctorate,9,35,42,40,43,45,2,4,0
1139,25-34,2,F,0,University_degree,7,39,26,46,47,32,4,4,0
1140,25-34,2,M,1,Some_college,5,41,31,49,16,38,9,5,1
1141,18-24,1,F,0,Some_college,5,27,43,47,52,40,4,5,1
1142,25-34,2,F,0,University_degree,7,51,28,51,36,30,6,5,1
1143,35-44,3,M,1,Certificate-diploma,6,40,31,47,42,46,6,8,1
1144,18-24,1,F,0,Some_college,5,54,26,54,52,33,4,5,1
1145,45-54,4,M,1,University_degree,7,38,32,41,41,37,5,4,1
1146,18-24,1,M,1,Some_college,5,51,34,41,35,25,4,8,1
1147,25-34,2,M,1,Masters,8,38,35,48,43,34,3,3,1
1148,25-34,2,M,1,University_degree,7,14,37,38,33,48,4,8,1
1149,35-44,3,M,1,Certificate-diploma,6,53,33,47,33,32,7,6,1
1150,18-24,1,M,1,Some_college,5,37,41,47,39,37,6,2,1
1151,45-54,4,F,0,Left_school_at_18,4,30,44,44,46,48,3,6,1
1152,25-34,2,M,1,Some_college,5,48,37,50,50,45,5,10,1
1153,35-44,3,F,0,University_degree,7,52,27,42,41,32,7,4,1
1154,55-64,5,F,0,Masters,8,39,35,41,35,40,6,2,0
1155,18-24,1,M,1,Left_school_at_18,4,41,34,45,42,27,6,5,1
1156,18-24,1,F,0,Masters,8,40,41,48,48,38,5,7,1
1157,18-24,1,M,1,Doctorate,9,27,51,56,53,38,4,5,1
